city,cityCenterLat,cityCenterLon
Vancouver,49.284355950000005,-123.11630717144202
Surrey,49.18678,-122.84876520609293
Langley,49.1050087,-122.659888
Richmond,49.1666809,-123.1390773
Burnaby,49.2269457,-122.9999075
Delta,49.0967413,-123.0675728
Pitt Meadows,49.220690149999996,-122.6901304676465
New Westminster,49.20177855,-122.91123069881691
White Rock,49.0210467,-122.804725
Coquitlam,49.27976555,-122.79858065439126
Abbotsford,49.0449668,-122.2951896
Maple Ridge,49.218365000000006,-122.59831882146733
